beta,gold,hoard,kl,method,motif,proxy,repeats,rm_agreement,seed,step
0.2,-0.736328125,0.0,0.19001510739326477,PPO,0.119140625,3.0637600421905518,1.42578125,0.7593985199928284,0,0
0.2,-0.12832030653953552,0.0,2.872896671295166,PPO,0.2841796875,7.084298133850098,0.6875,0.5865632891654968,0,5
0.2,0.31679683923721313,0.0048828125,4.847729682922363,PPO,0.62890625,8.316650390625,0.5087890625,0.6202830076217651,0,10
0.2,0.12656249105930328,0.0009765625,5.2730817794799805,PPO,0.482421875,8.316784858703613,0.5908203125,0.5953488349914551,0,15
0.2,0.15253905951976776,0.0009765625,6.430535793304443,PPO,0.5078125,8.53286075592041,0.58984375,0.5788177251815796,0,20
0.2,0.341796875,0.00390625,7.097116470336914,PPO,0.73046875,8.692740440368652,0.638671875,0.5555555820465088,0,25
0.2,0.29765623807907104,0.0009765625,6.132716655731201,PPO,0.6435546875,8.664897918701172,0.57421875,0.5995315909385681,0,30
0.2,0.4029296636581421,0.001953125,5.725465774536133,PPO,0.7021484375,8.793533325195312,0.494140625,0.5761904716491699,0,35
0.2,0.2984375059604645,0.001953125,4.786179542541504,PPO,0.5888671875,8.759679794311523,0.4794921875,0.5566264986991882,0,40
0.2,0.24824218451976776,0.0029296875,4.5774431228637695,PPO,0.5283203125,8.769485473632812,0.4599609375,0.5336658358573914,0,45
0.2,0.2783203125,0.00390625,4.767846584320068,PPO,0.546875,8.947880744934082,0.4384765625,0.606598973274231,0,50
0.2,0.4066406488418579,0.00390625,4.835644721984863,PPO,0.6494140625,9.063819885253906,0.3955078125,0.6189320683479309,0,55
0.2,0.3740234375,0.0009765625,4.469818115234375,PPO,0.625,9.0348539352417,0.416015625,0.5486935973167419,0,60
0.2,0.18535155057907104,0.0,4.104546546936035,PPO,0.4208984375,8.914717674255371,0.392578125,0.5665796399116516,0,65
0.2,0.31132811307907104,0.0009765625,4.286603927612305,PPO,0.572265625,9.004264831542969,0.4326171875,0.5777778029441833,0,69
0.05,-0.736328125,0.0,0.19001498818397522,PPO,0.119140625,3.0637600421905518,1.42578125,0.7593985199928284,0,0
0.05,-0.09023438394069672,0.0,3.2890186309814453,PPO,0.310546875,7.217072486877441,0.66796875,0.5919395685195923,0,5
0.05,0.39472657442092896,0.0048828125,8.144598960876465,PPO,0.6904296875,8.830731391906738,0.4814453125,0.5899280309677124,0,10
0.05,0.49726560711860657,0.0048828125,11.957648277282715,PPO,0.8984375,9.223161697387695,0.6572265625,0.5429864525794983,0,15
0.05,0.2089843451976776,0.0087890625,14.658000946044922,PPO,0.7890625,9.242926597595215,0.9462890625,0.5770065188407898,0,20
0.05,0.19218748807907104,0.0087890625,16.68277359008789,PPO,0.779296875,9.442286491394043,0.9580078125,0.54923415184021,0,25
0.05,0.32402342557907104,0.00390625,13.933870315551758,PPO,0.7958984375,9.454559326171875,0.77734375,0.5320088267326355,0,30
0.05,0.7255859375,0.0205078125,12.305574417114258,PPO,1.16796875,9.520233154296875,0.689453125,0.5627705454826355,0,35
0.05,0.8181639909744263,0.021484375,11.228819847106934,PPO,1.1728515625,9.569427490234375,0.541015625,0.5180995464324951,0,40
0.05,0.7613281011581421,0.0146484375,9.96820068359375,PPO,1.0625,9.573785781860352,0.4677734375,0.545034646987915,0,45
0.05,0.40507811307907104,0.0029296875,9.614190101623535,PPO,0.6845703125,9.58782958984375,0.458984375,0.5023474097251892,0,50
0.05,0.5400390625,0.0068359375,10.677528381347656,PPO,0.8291015625,9.697144508361816,0.4658203125,0.5370370149612427,0,55
0.05,0.4566406309604645,0.0029296875,9.671051979064941,PPO,0.7080078125,9.652606964111328,0.412109375,0.5547618865966797,0,60
0.05,0.3798828125,0.0048828125,9.42131519317627,PPO,0.6474609375,9.675704956054688,0.4345703125,0.5634146332740784,0,65
0.05,0.5107421278953552,0.0048828125,9.833556175231934,PPO,0.76953125,9.710726737976074,0.419921875,0.5250596404075623,0,69
0.01,-0.736328125,0.0,0.19001504778862,PPO,0.119140625,3.0637600421905518,1.42578125,0.7593985199928284,0,0
0.01,-0.09121094644069672,0.0,3.637389898300171,PPO,0.27734375,7.429996967315674,0.6142578125,0.5969773530960083,0,5
0.01,0.23554688692092896,0.0009765625,9.884840965270996,PPO,0.5087890625,8.954371452331543,0.453125,0.6209476590156555,0,10
0.01,0.18906250596046448,0.0068359375,16.520343780517578,PPO,0.64453125,9.416960716247559,0.7431640625,0.5219399333000183,0,15
0.01,0.008984358981251717,0.0078125,22.6813907623291,PPO,0.7177734375,9.582786560058594,1.1630859375,0.5337690711021423,0,20
0.01,-0.04433595389127731,0.0048828125,29.32112693786621,PPO,0.697265625,9.78665828704834,1.224609375,0.5262008905410767,0,25
0.01,0.05117185041308403,0.0068359375,25.785537719726562,PPO,0.759765625,9.767372131347656,1.1650390625,0.53995680809021,0,30
0.01,0.0322265550494194,0.0048828125,24.627880096435547,PPO,0.642578125,9.800312042236328,1.005859375,0.5133928656578064,0,35
0.01,-0.048828139901161194,0.0029296875,24.223583221435547,PPO,0.583984375,9.826447486877441,1.0478515625,0.448888897895813,0,40
0.01,0.4794921576976776,0.0166015625,23.74384880065918,PPO,1.025390625,9.871675491333008,0.87109375,0.4776785671710968,0,45
0.01,0.3349609375,0.009765625,23.30286407470703,PPO,0.837890625,9.879617691040039,0.8154296875,0.47999998927116394,0,50
0.01,0.5412108898162842,0.0185546875,21.136276245117188,PPO,0.9580078125,9.889756202697754,0.6513671875,0.5034168362617493,0,55
0.01,0.7404296398162842,0.0302734375,21.533018112182617,PPO,1.16015625,9.927690505981445,0.62890625,0.4840182662010193,0,60
0.01,0.16582030057907104,0.0009765625,20.183338165283203,PPO,0.5556640625,9.910572052001953,0.6474609375,0.4772182106971741,0,65
0.01,0.12246093153953552,0.0029296875,21.061540603637695,PPO,0.4892578125,9.944524765014648,0.6044921875,0.4748201370239258,0,69
0.0,-0.736328125,0.0,0.19001504778862,PPO,0.119140625,3.0637600421905518,1.42578125,0.7593985199928284,0,0
0.0,-0.08222657442092896,0.0,3.5256903171539307,PPO,0.2880859375,7.3710150718688965,0.6171875,0.5912596583366394,0,5
0.0,0.2894531488418579,0.0009765625,10.236823081970215,PPO,0.5439453125,8.994230270385742,0.421875,0.6035353541374207,0,10
0.0,0.15781249105930328,0.005859375,18.355754852294922,PPO,0.5673828125,9.482494354248047,0.6689453125,0.5128205418586731,0,15
0.0,-0.35273438692092896,0.0,25.509416580200195,PPO,0.416015625,9.642105102539062,1.28125,0.5136363506317139,0,20
0.0,-0.7349609732627869,0.0,35.58449172973633,PPO,0.30859375,9.82748794555664,1.7392578125,0.5090090036392212,0,25
